column_a,offenses,total_cleared,clearances_under_18,offenses_2,total_cleared_2,clearances_under_18_2,offenses_3,total_cleared_3,clearances_under_18_3
Alaska,11,3,0,0,0,0,11,3,0
Arizona,15,8,0,0,0,0,15,8,0
California,0,0,0,0,0,0,0,0,0
Colorado,11,0,0,2,0,0,13,0,0
Delaware,0,0,0,0,0,0,0,0,0
Florida,57,44,0,3,3,0,60,47,0
Guam,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0
Illinois,50,0,0,17,0,0,67,0,0
Indiana,0,0,0,0,0,0,0,0,0
Kansas,1,1,0,0,0,0,1,1,0
Massachusetts,6,4,0,1,0,0,7,4,0
Michigan,2,2,0,1,0,0,3,2,0
Minnesota,22,5,0,1,1,0,23,6,0
Missouri,5,2,1,1,0,0,6,2,1
Mississippi,0,0,0,0,0,0,2,1,0
Montana,1,0,0,0,0,0,1,0,0
Nevada,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0
Oklahoma,10,7,0,0,0,0,10,7,0
Oregon,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0
Tennessee,29,0,0,1,0,0,30,0,0
Texas,78,22,5,113,17,3,191,39,8
Utah,0,0,0,0,0,0,0,0,0
U. S. Virgin Islands,0,0,0,0,0,0,0,0,0
Washington,2,0,0,0,0,0,2,0,0
Wyoming,0,0,0,1,0,0,1,0,0
