column_a,column_b,column_c,column_d,column_e,column_f
Arizona,Commercial sex acts,0,0,0,0
,Involuntary servitude,0,0,3,0
Guam,Commercial sex acts,0,0,0,0
,Involuntary servitude,1,0,0,0
Indiana,Commercial sex acts,6,2,47,27
,Involuntary servitude,8,11,2,2
Minnesota,Commercial sex acts,1,1,25,5
,Involuntary servitude,0,0,0,0
Missouri,Commercial sex acts,3,0,8,1
,Involuntary servitude,0,0,4,5
Mississippi,Commercial sex acts,3,0,1,0
,Involuntary servitude,2,4,0,0
Ohio,Commercial sex acts,0,0,4,1
,Involuntary servitude,0,0,0,0
Texas,Commercial sex acts,5,30,513,153
,Involuntary servitude,13,24,18,7
Utah,Commercial sex acts,0,0,0,0
,Involuntary servitude,0,0,10,1
Wyoming,Commercial sex acts,0,1,0,0
,Involuntary servitude,0,0,0,0
