column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k,column_l,column_m,column_n
Arizona,Commercial sex acts,0,0,false,false,false,0,0,0,false,0,false,0
,Involuntary servitude,0,0,false,false,false,0,2,1,false,0,false,3
Guam,Commercial sex acts,0,0,false,false,false,0,0,0,false,0,false,0
,Involuntary servitude,0,0,false,false,true,1,0,0,false,0,false,0
Indiana,Commercial sex acts,6,2,false,true,false,9,60,11,false,0,true,72
,Involuntary servitude,17,2,false,false,false,19,1,0,false,3,false,4
Minnesota,Commercial sex acts,0,2,false,false,false,2,11,18,false,1,false,30
,Involuntary servitude,0,0,false,false,false,0,0,0,false,0,false,0
Missouri,Commercial sex acts,3,0,false,false,false,3,7,1,false,1,false,8
,Involuntary servitude,0,0,false,false,false,0,6,3,false,0,false,9
Mississippi,Commercial sex acts,0,0,false,false,false,0,1,0,false,0,false,1
,Involuntary servitude,0,3,false,false,false,3,0,0,false,0,false,0
Ohio,Commercial sex acts,0,0,false,false,false,0,6,0,false,0,false,6
,Involuntary servitude,0,0,false,false,false,0,0,0,false,0,false,0
Texas,Commercial sex acts,19,16,false,false,false,35,567,98,false,1,false,666
,Involuntary servitude,34,3,false,false,false,37,20,5,false,0,false,25
Utah,Commercial sex acts,0,0,false,false,false,0,0,0,false,0,false,0
,Involuntary servitude,0,0,false,false,false,0,11,0,false,0,false,11
Wyoming,Commercial sex acts,1,0,false,false,false,1,0,0,false,0,false,0
,Involuntary servitude,0,0,false,false,false,0,2,0,false,0,false,2
