column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h
,Involuntary servitude,0,13,13,0,3,3
Minnesota,Commercial sex acts,0,2,2,0,30,30
,Involuntary servitude,0,0,0,0,0,0
Missouri,Commercial sex acts,0,0,0,0,0,0
,Involuntary servitude,0,0,0,0,0,0
Mississippi,Commercial sex acts,0,0,0,0,2,2
,Involuntary servitude,0,0,0,0,0,0
Ohio,Commercial sex acts,0,0,0,0,0,0
,Involuntary servitude,0,0,0,0,0,0
Texas,Commercial sex acts,15,20,35,201,465,666
,Involuntary servitude,25,12,37,14,11,25
Utah,Commercial sex acts,0,0,0,0,0,0
,Involuntary servitude,0,0,0,0,11,11
Wyoming,Commercial sex acts,0,1,1,0,0,0
,Involuntary servitude,0,0,0,0,0,0
"NOTE:  The ethnicity totals are representative of those agencies that provided ethnicity breakdowns.  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. ",,,,,,,
