state_state,offense_offense,juvenile_hispanic_or_latino,juvenile_not_hispanic_or_latino,juvenile_total,adult_hispanic_or_latino,adult_not_hispanic_or_latino,adult_total
Arizona,Commercial sex acts,0,0,0,0,0,0
Arizona,Involuntary servitude,0,0,0,16,18,34
Arkansas,Commercial sex acts,0,0,0,0,1,1
Arkansas,Involuntary servitude,0,0,0,0,0,0
California*,Commercial sex acts,0,0,0,0,1,1
California*,Involuntary servitude,0,0,0,0,0,0
Colorado,Commercial sex acts,0,0,0,1,0,1
Colorado,Involuntary servitude,0,0,0,0,2,2
Connecticut,Commercial sex acts,0,0,0,0,0,0
Connecticut,Involuntary servitude,0,0,0,0,14,14
Indiana,Commercial sex acts,0,0,0,0,2,2
Indiana,Involuntary servitude,0,0,0,0,0,0
Maryland,Commercial sex acts,0,0,0,0,13,13
Maryland,Involuntary servitude,0,0,0,0,4,4
Minnesota,Commercial sex acts,0,0,0,42,164,206
Minnesota,Involuntary servitude,0,0,0,0,0,0
Missouri,Commercial sex acts,0,1,1,0,9,9
Missouri,Involuntary servitude,0,0,0,0,2,2
Montana,Commercial sex acts,0,0,0,0,1,1
Montana,Involuntary servitude,0,0,0,0,0,0
Nevada,Commercial sex acts,1,0,1,2,30,32
Nevada,Involuntary servitude,0,0,0,0,7,7
North Dakota,Commercial sex acts,0,0,0,0,1,1
North Dakota,Involuntary servitude,0,0,0,0,0,0
Oklahoma,Commercial sex acts,2,8,10,3,30,33
Oklahoma,Involuntary servitude,0,0,0,0,1,1
Rhode Island,Commercial sex acts,0,0,0,0,1,1
Rhode Island,Involuntary servitude,0,0,0,0,0,0
South Carolina,Commercial sex acts,0,0,0,0,6,6
South Carolina,Involuntary servitude,0,0,0,0,0,0
Tennessee,Commercial sex acts,0,0,0,3,19,22
Tennessee,Involuntary servitude,0,0,0,0,0,0
Texas,Commercial sex acts,9,31,40,119,352,471
Texas,Involuntary servitude,0,0,0,7,7,14
Wisconsin,Commercial sex acts,0,0,0,0,13,13
Wisconsin,Involuntary servitude,0,0,0,0,0,0
Wyoming,Commercial sex acts,0,0,0,0,0,0
Wyoming,Involuntary servitude,0,0,0,0,1,1
* Data submitted through the Bureau of Indian Affairs.,,,,,,,
"NOTE:  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. ","NOTE:  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. ","NOTE:  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. ","NOTE:  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. ","NOTE:  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. ","NOTE:  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. ","NOTE:  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. ","NOTE:  Not all agencies provide ethnicity data; therefore, the race and ethnicity totals will not equal. "
